topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
economy,0.77296,5.0,-0.3376333333333333,6.0,0.0,19.714285714285715,2025-11-17
economy,0.15206666666666666,6.0,-0.39541,10.0,0.0,53.0,2025-11-24
economy,0.26836666666666664,3.0,-0.31854000000000005,5.0,0.0,47.285714285714285,2025-12-01
economy,0.48593571428571425,14.0,-0.44261818181818186,11.0,0.0,22.714285714285715,2025-12-08
economy,-0.3600666666666667,3.0,-0.4301111111111111,9.0,0.0,27.285714285714285,2025-12-15
economy,0.5043357142857142,14.0,-0.4650875,8.0,0.0,32.57142857142857,2025-12-22
economy,0.18986666666666666,3.0,-0.76266,5.0,0.0,49.57142857142857,2025-12-29
economy,0.5654444444444445,9.0,-0.21614444444444444,9.0,0.0,35.714285714285715,2026-01-05
economy,-0.050068749999999995,16.0,-0.21659411764705883,17.0,0.0,14.285714285714286,2026-01-12
economy,0.34790000000000004,26.0,-0.1702777777777778,9.0,0.0,14.714285714285714,2026-01-19
economy,0.35374999999999995,14.0,-0.7642181818181818,11.0,0.0,28.0,2026-01-26
economy,0.027142857142857142,21.0,-0.4232142857142857,7.0,0.0,25.0,2026-02-02
economy,0.1992,13.0,-0.3569166666666666,6.0,0.0,12.571428571428571,2026-02-09
economy,0.12214736842105262,19.0,-0.6203785714285714,14.0,0.0,10.571428571428571,2026-02-16
economy,-0.10771904761904763,21.0,-0.08800000000000001,3.0,0.0,27.0,2026-02-23
economy,0.355472972972973,37.0,-0.6177461538461538,13.0,0.0,23.571428571428573,2026-03-02
economy,0.4104,29.0,-0.5112111111111112,9.0,0.0,11.428571428571429,2026-03-09
economy,0.42060000000000003,10.0,-0.7759777777777778,9.0,0.0,14.428571428571429,2026-03-16
economy,0.14541199999999999,25.0,-0.7349428571428572,14.0,0.0,41.57142857142857,2026-03-23
economy,0.17174347826086955,46.0,0.2447,6.0,0.0,,2026-03-30
economy,0.3371071428571429,28.0,-0.30260000000000004,9.0,0.0,,2026-04-06
economy,0.33866153846153846,39.0,-0.6722333333333333,6.0,0.0,,2026-04-13
economy,0.35456315789473686,57.0,-0.7160076923076922,13.0,0.0,,2026-04-20
economy,0.27966612903225807,62.0,-0.57342,10.0,0.0,,2026-04-27
economy,0.2979523076923077,65.0,-0.0669222222222222,9.0,0.0,,2026-05-04
economy,0.09222272727272728,44.0,-0.5088199999999999,10.0,0.0,,2026-05-11
economy,0.14153711340206185,97.0,-0.4364,5.0,0.0,,2026-05-18
economy,0.2488929203539823,113.0,-0.31225,8.0,0.0,,2026-05-25
economy,0.3171434163701068,281.0,-0.39191875,16.0,0.0,,2026-06-01
economy,0.2661208201892744,317.0,-0.6175333333333334,15.0,0.0,,2026-06-08
economy,0.2479764427625355,1057.0,-0.34886666666666666,3.0,0.0,,2026-06-15
national,-0.1305,1.0,,,,56.42857142857143,2024-01-22
national,-0.8167,1.0,-0.995,1.0,0.0,40.285714285714285,2024-01-29
national,-0.091175,4.0,0.8273333333333334,3.0,0.0,34.57142857142857,2024-02-05
